
epoch 133,  actor_loss: 213.9513,  critic_loss: 95.5367, cost_time: 2.4534, best_solution: [14.621156692504883],od: 13.0453, eqity: 11.8841,rad: 28.8714
epoch 134,  actor_loss: 204.5211,  critic_loss: 86.1545, cost_time: 2.6518, best_solution: [14.621156692504883],od: 13.8559, eqity: 13.1031,rad: 34.1130
epoch 135,  actor_loss: 62.8749,  critic_loss: 66.0090, cost_time: 2.6107, best_solution: [14.621156692504883],od: 13.0165, eqity: 13.8789,rad: 31.9946
epoch 136,  actor_loss: 17.1781,  critic_loss: 80.3816, cost_time: 2.5190, best_solution: [14.621156692504883],od: 11.3681, eqity: 11.1713,rad: 30.3723
epoch 137,  actor_loss: -11.6391,  critic_loss: 75.0169, cost_time: 2.4291, best_solution: [14.621156692504883],od: 11.0105, eqity: 11.5695,rad: 28.4306
epoch 138,  actor_loss: 124.5915,  critic_loss: 82.9605, cost_time: 2.6442, best_solution: [14.621156692504883],od: 13.2510, eqity: 12.2023,rad: 32.5241
epoch 139,  actor_loss: 138.7423,  critic_loss: 111.3285, cost_time: 2.5475, best_solution: [14.621156692504883],od: 13.7309, eqity: 11.2510,rad: 35.3458
epoch 140,  actor_loss: 100.3951,  critic_loss: 77.7800, cost_time: 2.7092, best_solution: [14.621156692504883],od: 14.6188, eqity: 14.4018,rad: 31.9053
epoch 141,  actor_loss: 23.2645,  critic_loss: 88.3512, cost_time: 2.4790, best_solution: [14.621156692504883],od: 13.8932, eqity: 12.7555,rad: 35.7864
epoch 142,  actor_loss: 8.8227,  critic_loss: 80.2240, cost_time: 2.7948, best_solution: [14.621156692504883],od: 15.1995, eqity: 13.5100,rad: 35.9687
epoch 143,  actor_loss: 67.2519,  critic_loss: 121.4896, cost_time: 2.6659, best_solution: [15.199504852294922],od: 15.4751, eqity: 14.2654,rad: 35.7430
epoch 144,  actor_loss: 0.3213,  critic_loss: 86.5948, cost_time: 2.6735, best_solution: [15.475054740905762],od: 13.1244, eqity: 13.6726,rad: 28.1180
epoch 145,  actor_loss: 55.1837,  critic_loss: 106.4537, cost_time: 2.3850, best_solution: [15.475054740905762],od: 11.2255, eqity: 10.2724,rad: 28.2641
